,return_mode,clusters,window_size,method,linkage,df_mode,min_per_cluster,max_per_cluster,min_max_delta
0,arithmetic,7,3,kshape,not_applicable,3day,0.0811,0.3243,0.2432
0,arithmetic,7,3,kshape,not_applicable,3day,0.018,0.1937,0.1757
0,arithmetic,7,3,kshape,not_applicable,3day,0.0631,0.3423,0.2793
0,arithmetic,4,3,kshape,not_applicable,full,0.1532,0.4099,0.2568
0,arithmetic,4,3,kshape,not_applicable,full,0.1351,0.4685,0.3333
0,arithmetic,4,3,kshape,not_applicable,full,0.1351,0.4595,0.3243
0,arithmetic,6,3,kshape,not_applicable,full,0.045,0.3919,0.3468
0,arithmetic,6,3,kshape,not_applicable,full,0.0946,0.2252,0.1306
0,arithmetic,6,3,kshape,not_applicable,full,0.0541,0.4054,0.3514
0,arithmetic,7,3,kshape,not_applicable,full,0.0811,0.2252,0.1441
0,arithmetic,7,3,kshape,not_applicable,full,0.0811,0.2162,0.1351
0,arithmetic,7,3,kshape,not_applicable,full,0.036,0.2207,0.1847
0,arithmetic,5,7,kshape,not_applicable,full,0.0676,0.3378,0.2703
0,arithmetic,5,7,kshape,not_applicable,full,0.0811,0.4099,0.3288
0,arithmetic,5,7,kshape,not_applicable,full,0.0901,0.2973,0.2072
0,arithmetic,7,7,kshape,not_applicable,full,0.0946,0.2342,0.1396
0,arithmetic,7,7,kshape,not_applicable,full,0.0721,0.2928,0.2207
0,arithmetic,7,7,kshape,not_applicable,full,0.036,0.2297,0.1937
0,geometric,7,10,kshape,not_applicable,full,0.0541,0.3333,0.2793
0,geometric,7,10,kshape,not_applicable,full,0.0721,0.3288,0.2568
0,geometric,7,10,kshape,not_applicable,full,0.0811,0.2432,0.1622
0,geometric,4,3,kshape,not_applicable,3day,0.1847,0.3243,0.1396
0,geometric,4,3,kshape,not_applicable,3day,0.1306,0.482,0.3514
0,geometric,4,3,kshape,not_applicable,3day,0.1532,0.4865,0.3333
0,geometric,6,3,kshape,not_applicable,3day,0.0631,0.3063,0.2432
0,geometric,6,3,kshape,not_applicable,3day,0.1036,0.2162,0.1126
0,geometric,6,3,kshape,not_applicable,3day,0.0811,0.3108,0.2297
0,geometric,7,3,kshape,not_applicable,3day,0.0676,0.2613,0.1937
0,geometric,7,3,kshape,not_applicable,3day,0.0541,0.3378,0.2838
0,geometric,7,3,kshape,not_applicable,3day,0.0541,0.3333,0.2793
0,geometric,4,3,kshape,not_applicable,full,0.1486,0.4955,0.3468
0,geometric,4,3,kshape,not_applicable,full,0.1532,0.5,0.3468
0,geometric,4,3,kshape,not_applicable,full,0.1622,0.3874,0.2252
0,geometric,5,3,kshape,not_applicable,full,0.1216,0.4234,0.3018
0,geometric,5,3,kshape,not_applicable,full,0.1036,0.4414,0.3378
0,geometric,5,3,kshape,not_applicable,full,0.1216,0.4189,0.2973
0,geometric,6,3,kshape,not_applicable,full,0.0901,0.3243,0.2342
0,geometric,6,3,kshape,not_applicable,full,0.0856,0.2252,0.1396
0,geometric,6,3,kshape,not_applicable,full,0.0946,0.3423,0.2477
0,geometric,7,3,kshape,not_applicable,full,0.0225,0.2838,0.2613
0,geometric,7,3,kshape,not_applicable,full,0.0946,0.2793,0.1847
0,geometric,7,3,kshape,not_applicable,full,0.0721,0.2342,0.1622
0,geometric,6,7,kshape,not_applicable,full,0.1081,0.2162,0.1081
0,geometric,6,7,kshape,not_applicable,full,0.0811,0.3784,0.2973
0,geometric,6,7,kshape,not_applicable,full,0.0991,0.2793,0.1802
0,geometric,7,7,kshape,not_applicable,full,0.0721,0.2117,0.1396
0,geometric,7,7,kshape,not_applicable,full,0.0631,0.2432,0.1802
0,geometric,7,7,kshape,not_applicable,full,0.0631,0.1937,0.1306
