clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
18,-0.1825801055383342,ahc,single,geometric,60,3day,,0.7961
4,0.19563246379840712,ahc,average,geometric,60,full,,0.5468
7,0.16730916074468655,ahc,average,geometric,60,full,,1.7132
9,0.1172266930655348,ahc,average,geometric,60,full,,1.7762
10,0.10226226047540439,ahc,average,geometric,60,full,,1.8379
12,0.10269523575643558,ahc,average,geometric,60,full,,2.4189
15,0.09806315202810946,ahc,average,geometric,60,full,,2.5705
18,0.11607397878282788,ahc,average,geometric,60,full,,3.1706
4,0.16575404364748078,ahc,complete,geometric,60,full,,1.6031
7,0.1286963654333508,ahc,complete,geometric,60,full,,2.3059
9,0.09918297469354101,ahc,complete,geometric,60,full,,2.6053
10,0.09477980442473692,ahc,complete,geometric,60,full,,2.8849
12,0.1000953328532881,ahc,complete,geometric,60,full,,2.983
15,0.10369697020904643,ahc,complete,geometric,60,full,,3.4656
18,0.08390164112256102,ahc,complete,geometric,60,full,,3.8087
4,0.15333235704125345,ahc,single,geometric,60,full,,0.1566
7,-0.06401671214877727,ahc,single,geometric,60,full,,0.3127
9,-0.0924873617863316,ahc,single,geometric,60,full,,0.3951
10,-0.10152153452431582,ahc,single,geometric,60,full,,0.4684
12,-0.10928957156174536,ahc,single,geometric,60,full,,0.5505
15,-0.09003578648143326,ahc,single,geometric,60,full,,0.7692
18,-0.10233512562194332,ahc,single,geometric,60,full,,0.9834
