clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
7,-0.07387208488426983,ahc,single,geometric,14,weekly,,0.3236
9,-0.06471275443815414,ahc,single,geometric,14,weekly,,0.4718
10,-0.10111637048847365,ahc,single,geometric,14,weekly,,0.5143
12,-0.10826504782587101,ahc,single,geometric,14,weekly,,0.5365
15,-0.16061481071508335,ahc,single,geometric,14,weekly,,0.7263
18,-0.1696203960207558,ahc,single,geometric,14,weekly,,0.8532
4,0.07097375712799601,ahc,average,geometric,14,3day,,1.0016
7,0.05932206746189301,ahc,average,geometric,14,3day,,1.733
9,0.0477570918435998,ahc,average,geometric,14,3day,,1.7901
10,0.04461292335730359,ahc,average,geometric,14,3day,,1.8511
12,0.04278979694375376,ahc,average,geometric,14,3day,,2.0728
15,0.03076800413825251,ahc,average,geometric,14,3day,,2.2606
18,0.02793239115935958,ahc,average,geometric,14,3day,,2.4964
4,0.0924964454742906,ahc,complete,geometric,14,3day,,1.8032
7,0.038805907046130204,ahc,complete,geometric,14,3day,,2.5774
9,0.04940597879168253,ahc,complete,geometric,14,3day,,2.8856
10,0.049493082544491175,ahc,complete,geometric,14,3day,,3.039
12,0.05432314073753395,ahc,complete,geometric,14,3day,,3.2205
15,0.05129035763678658,ahc,complete,geometric,14,3day,,3.5342
18,0.051863698486085144,ahc,complete,geometric,14,3day,,3.6639
4,0.0507482859393921,ahc,single,geometric,14,3day,,0.1286
7,-0.015141325448223948,ahc,single,geometric,14,3day,,0.2569
9,-0.05100348323156132,ahc,single,geometric,14,3day,,0.3423
10,-0.06448604525658129,ahc,single,geometric,14,3day,,0.385
12,-0.08729313520480944,ahc,single,geometric,14,3day,,0.4701
15,-0.09751325995209377,ahc,single,geometric,14,3day,,0.5977
18,-0.11097974130559582,ahc,single,geometric,14,3day,,0.7579
4,0.09085883468059168,ahc,average,geometric,14,full,,0.192
7,0.08536567763267798,ahc,average,geometric,14,full,,1.2586
9,0.07438134920238379,ahc,average,geometric,14,full,,1.4972
10,0.05193571092904988,ahc,average,geometric,14,full,,1.617
12,0.044658266875243255,ahc,average,geometric,14,full,,1.6531
15,0.04939990149039145,ahc,average,geometric,14,full,,2.2621
18,0.04253313511454712,ahc,average,geometric,14,full,,2.6415
4,0.07694726141496286,ahc,complete,geometric,14,full,,1.6686
7,0.029119702619367964,ahc,complete,geometric,14,full,,2.4104
9,0.03501169678281307,ahc,complete,geometric,14,full,,2.5557
10,0.031837380147767116,ahc,complete,geometric,14,full,,2.8216
12,0.03323046888320334,ahc,complete,geometric,14,full,,3.1028
15,0.037157440508748626,ahc,complete,geometric,14,full,,3.2699
18,0.03929597426041975,ahc,complete,geometric,14,full,,3.5592
4,0.06691567881384941,ahc,single,geometric,14,full,,0.1286
7,0.0340991857663958,ahc,single,geometric,14,full,,0.2569
9,0.01737909130089808,ahc,single,geometric,14,full,,0.3756
10,-0.02143268347283499,ahc,single,geometric,14,full,,0.4182
12,-0.03808247272911994,ahc,single,geometric,14,full,,0.5033
15,-0.07188779154111584,ahc,single,geometric,14,full,,0.6308
18,-0.07532333687495867,ahc,single,geometric,14,full,,0.7909
4,0.28213733893348375,ahc,average,geometric,30,weekly,,1.0081
7,0.1558686776747627,ahc,average,geometric,30,weekly,,1.8419
9,0.1433592840185851,ahc,average,geometric,30,weekly,,1.9282
10,0.14820827382713472,ahc,average,geometric,30,weekly,,1.9998
12,0.14241818147642363,ahc,average,geometric,30,weekly,,2.0279
15,0.14689743545380402,ahc,average,geometric,30,weekly,,2.8251
18,0.12482218966052501,ahc,average,geometric,30,weekly,,3.0123
4,0.18212715896977913,ahc,complete,geometric,30,weekly,,1.7448
7,0.1293106684513781,ahc,complete,geometric,30,weekly,,2.3713
9,0.13386524483078185,ahc,complete,geometric,30,weekly,,2.7389
10,0.12331628349004582,ahc,complete,geometric,30,weekly,,3.0373
12,0.10478574855574263,ahc,complete,geometric,30,weekly,,3.3019
15,0.11358297938039709,ahc,complete,geometric,30,weekly,,3.4902
18,0.09174319833528029,ahc,complete,geometric,30,weekly,,3.8319
4,0.12923639580652815,ahc,single,geometric,30,weekly,,0.1621
7,0.026438917208590082,ahc,single,geometric,30,weekly,,0.2903
9,-0.09382700968407667,ahc,single,geometric,30,weekly,,0.3756
10,-0.10414512620955921,ahc,single,geometric,30,weekly,,0.4182
12,-0.11441413812962717,ahc,single,geometric,30,weekly,,0.5365
15,-0.17373781045024334,ahc,single,geometric,30,weekly,,0.6638
18,-0.18708377516280927,ahc,single,geometric,30,weekly,,0.7909
4,0.14973856768503158,ahc,average,geometric,30,3day,,1.3619
7,0.11254863906728371,ahc,average,geometric,30,3day,,2.0248
9,0.11131452366067018,ahc,average,geometric,30,3day,,2.3578
10,0.11027700218604714,ahc,average,geometric,30,3day,,2.4291
12,0.12747350876365815,ahc,average,geometric,30,3day,,2.8809
15,0.11690060597122308,ahc,average,geometric,30,3day,,3.0846
18,0.10212022563934484,ahc,average,geometric,30,3day,,3.1535
4,0.119765568645109,ahc,complete,geometric,30,3day,,1.9468
7,0.12907269953121453,ahc,complete,geometric,30,3day,,2.6608
9,0.12636854046483018,ahc,complete,geometric,30,3day,,2.9574
10,0.12194661721750932,ahc,complete,geometric,30,3day,,3.0785
12,0.12267829339915028,ahc,complete,geometric,30,3day,,3.2923
15,0.10273169509266009,ahc,complete,geometric,30,3day,,3.5599
18,0.11466821520891517,ahc,complete,geometric,30,3day,,3.8523
4,-0.07032035352995047,ahc,single,geometric,30,3day,,0.1286
7,-0.09692530648198837,ahc,single,geometric,30,3day,,0.2903
9,-0.09027939014752695,ahc,single,geometric,30,3day,,0.4386
10,-0.09673706123315164,ahc,single,geometric,30,3day,,0.5143
12,-0.11893947094313521,ahc,single,geometric,30,3day,,0.5992
15,-0.1310845134918023,ahc,single,geometric,30,3day,,0.7263
18,-0.13189107232106356,ahc,single,geometric,30,3day,,0.886
4,0.1439579520841399,ahc,average,geometric,30,full,,1.0955
7,0.08181260108449187,ahc,average,geometric,30,full,,1.9254
9,0.06861146733388422,ahc,average,geometric,30,full,,2.0891
10,0.07149590518339981,ahc,average,geometric,30,full,,2.2082
12,0.048615945840387205,ahc,average,geometric,30,full,,2.2737
15,0.04026507222024382,ahc,average,geometric,30,full,,2.3536
18,0.03535717620497522,ahc,average,geometric,30,full,,2.5906
4,0.10254425001556383,ahc,complete,geometric,30,full,,1.6889
7,0.03904822499994348,ahc,complete,geometric,30,full,,2.4574
9,0.04024680007301346,ahc,complete,geometric,30,full,,2.8014
10,0.041088362260376717,ahc,complete,geometric,30,full,,2.85
12,0.04325091053067359,ahc,complete,geometric,30,full,,3.066
15,0.04438695994943873,ahc,complete,geometric,30,full,,3.3539
18,0.05101261437602966,ahc,complete,geometric,30,full,,3.8206
4,-0.006823568518382167,ahc,single,geometric,30,full,,0.1286
7,-0.04450326857103165,ahc,single,geometric,30,full,,0.2569
9,-0.05689373976875934,ahc,single,geometric,30,full,,0.3423
10,-0.05776033979511201,ahc,single,geometric,30,full,,0.4182
12,-0.06358913567788532,ahc,single,geometric,30,full,,0.5033
15,-0.12259506989917306,ahc,single,geometric,30,full,,0.6308
18,-0.1414941304047723,ahc,single,geometric,30,full,,0.7579
4,0.2914483547647041,ahc,average,geometric,60,weekly,,1.4625
7,0.2081361476970993,ahc,average,geometric,60,weekly,,2.0439
9,0.1992249333779974,ahc,average,geometric,60,weekly,,2.2197
10,0.19018686559528325,ahc,average,geometric,60,weekly,,2.3318
12,0.1901244790290763,ahc,average,geometric,60,weekly,,2.4494
15,0.18667794812982286,ahc,average,geometric,60,weekly,,2.5747
18,0.16550834063540806,ahc,average,geometric,60,weekly,,2.698
4,0.24063955701703332,ahc,complete,geometric,60,weekly,,1.7236
7,0.11942811608287417,ahc,complete,geometric,60,weekly,,2.5586
9,0.11745082292142132,ahc,complete,geometric,60,weekly,,2.7527
10,0.1198489414519838,ahc,complete,geometric,60,weekly,,3.0537
12,0.12466317625798196,ahc,complete,geometric,60,weekly,,3.1879
15,0.11671612784511616,ahc,complete,geometric,60,weekly,,3.5242
18,0.09582841369314708,ahc,complete,geometric,60,weekly,,3.789
4,-0.004205980284246811,ahc,single,geometric,60,weekly,,0.1286
7,-0.062434681847557676,ahc,single,geometric,60,weekly,,0.2903
9,-0.07248157229733762,ahc,single,geometric,60,weekly,,0.3756
10,-0.0903215556944247,ahc,single,geometric,60,weekly,,0.385
12,-0.17872322838244525,ahc,single,geometric,60,weekly,,0.5033
15,-0.20636200105199895,ahc,single,geometric,60,weekly,,0.6638
18,-0.2058011109357263,ahc,single,geometric,60,weekly,,0.8567
4,0.24183998141436946,ahc,average,geometric,60,3day,,1.4726
7,0.14138175058559788,ahc,average,geometric,60,3day,,1.7084
9,0.13079313789839017,ahc,average,geometric,60,3day,,1.8615
10,0.13188462085329666,ahc,average,geometric,60,3day,,1.9458
12,0.1469814928284652,ahc,average,geometric,60,3day,,2.5283
15,0.14232164505616063,ahc,average,geometric,60,3day,,2.6073
18,0.1527029283362889,ahc,average,geometric,60,3day,,3.0634
4,0.16406428991699817,ahc,complete,geometric,60,3day,,1.9017
7,0.1641902483466567,ahc,complete,geometric,60,3day,,2.6854
9,0.11630257842835201,ahc,complete,geometric,60,3day,,2.9921
10,0.12158934057352995,ahc,complete,geometric,60,3day,,3.1638
12,0.12647813140439879,ahc,complete,geometric,60,3day,,3.3411
15,0.12518617806124965,ahc,complete,geometric,60,3day,,3.6122
18,0.12622203427026282,ahc,complete,geometric,60,3day,,3.9446
4,0.04879624725068078,ahc,single,geometric,60,3day,,0.1621
7,0.017311118712735878,ahc,single,geometric,60,3day,,0.2903
9,-0.14759871296228577,ahc,single,geometric,60,3day,,0.3756
10,-0.16569586856234486,ahc,single,geometric,60,3day,,0.4515
12,-0.2004811808004717,ahc,single,geometric,60,3day,,0.5365
15,-0.23913244705134015,ahc,single,geometric,60,3day,,0.6308
18,-0.24130969546512288,ahc,single,geometric,60,3day,,0.7579
4,0.13586695966543383,ahc,average,geometric,60,full,,1.3819
7,0.11057982561984908,ahc,average,geometric,60,full,,2.1004
9,0.09178759320444199,ahc,average,geometric,60,full,,2.2177
10,0.09887241552340471,ahc,average,geometric,60,full,,2.4369
12,0.10748878530167551,ahc,average,geometric,60,full,,2.681
15,0.1194045688556804,ahc,average,geometric,60,full,,3.2113
18,0.10371837514694347,ahc,average,geometric,60,full,,3.299
4,0.14362107787118583,ahc,complete,geometric,60,full,,1.895
